,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
217,Leonard Fournette\FourLe00,2017,22,1-4,JAX,NFL,13,13,194.2,230.2,14.94,17.71,0,0,0,0,0,268,1040,9,36,302,1,2
218,Marshall Faulk*\FaulMa00,2002,29,1-2,STL,NFL,14,10,209.0,289.0,14.93,20.64,0,0,0,0,0,212,953,8,80,537,2,4
219,Charlie Garner\GarnCh00,2000,28,2-42,SFO,NFL,16,15,238.9,306.9,14.93,19.18,0,0,0,0,0,258,1142,7,68,647,3,4
220,George Rogers\RogeGe00,1986,28,1-1,WAS,NFL,15,15,223.7,226.7,14.91,15.11,0,0,0,0,0,303,1203,18,3,24,0,7
221,Stephen Davis\DaviSt00,2003,29,4-102,CAR,NFL,14,14,208.3,222.3,14.88,15.88,0,0,0,0,0,318,1444,8,14,159,0,3
222,Herschel Walker\WalkHe00,1988,26,5-114,DAL,NFL,16,16,237.9,290.9,14.87,18.18,0,0,0,0,0,361,1514,5,53,505,2,6
223,Joe Cribbs\CribJo00,1981,23,2-29,BUF,NFL,15,15,222.4,262.4,14.83,17.49,1,1,9,1,0,257,1097,3,40,603,7,12
224,Knowshon Moreno\MoreKn00,2013,26,1-12,DEN,NFL,16,15,236.6,296.6,14.79,18.54,0,0,0,0,0,241,1038,10,60,548,3,2
225,Herschel Walker\WalkHe00,1986,24,5-114,DAL,NFL,16,9,236.4,312.4,14.78,19.53,0,0,0,0,0,151,737,12,76,837,2,5
226,Fred Taylor\TaylFr00,2003,27,1-9,JAX,NFL,16,16,236.2,284.2,14.76,17.76,0,0,0,0,0,345,1572,6,48,370,1,6
227,Jamal Lewis\LewiJa00,2007,28,1-5,CLE,NFL,15,15,221.2,251.2,14.75,16.75,0,0,0,0,0,298,1304,9,30,248,2,4
228,LeSean McCoy\McCoLe01,2010,22,2-53,PHI,NFL,15,13,221.2,299.2,14.75,19.95,0,0,0,0,0,207,1080,7,78,592,2,2
229,Michael Pittman\PittMi00,2004,29,4-95,TAM,NFL,13,13,191.7,232.7,14.75,17.90,0,0,0,0,0,219,926,7,41,391,3,6
230,Greg Bell\BellGr00,1988,26,1-26,RAM,NFL,16,13,235.6,259.6,14.73,16.23,0,0,0,0,0,288,1212,16,24,124,2,6
231,Ted Brown\BrowTe00,1983,26,1-16,MIN,NFL,10,8,147.3,188.3,14.73,18.83,0,0,0,0,0,120,476,10,41,357,1,2
232,Clinton Portis\PortCl00,2007,26,2-51,WAS,NFL,16,16,235.7,282.7,14.73,17.67,1,1,15,1,0,325,1262,11,47,389,0,6
233,Bo Jackson\JackBo00,1987,25,1-1,RAI,NFL,7,5,103.0,119.0,14.71,17.00,0,0,0,0,0,81,554,4,16,136,2,2
234,Freeman McNeil\McNeFr00,1982,23,1-3,NYJ,NFL,9,9,132.3,148.3,14.70,16.48,0,0,0,0,0,151,786,6,16,187,1,7
235,Ricky Watters\WattRi00,1992,23,2-45,SFO,NFL,14,13,205.8,248.8,14.70,17.77,0,1,0,0,0,206,1013,9,43,405,2,2
236,John Riggins*\RiggJo00,1984,35,1-6,WAS,NFL,14,14,205.2,212.2,14.66,15.16,0,0,0,0,0,327,1239,14,7,43,0,7
237,Olandis Gary\GaryOl00,1999,24,4-127,DEN,NFL,12,12,175.8,196.8,14.65,16.40,0,0,0,0,0,276,1159,7,21,159,0,2
238,DeMarco Murray\MurrDe00,2013,25,3-71,DAL,NFL,14,14,205.1,258.1,14.65,18.44,0,0,0,0,0,217,1121,9,53,350,1,3
239,Marshawn Lynch\LyncMa00,2011,25,1-12,SEA,NFL,15,15,219.6,247.6,14.64,16.51,0,2,0,0,0,285,1204,12,28,212,1,3
240,Wilbert Montgomery\MontWi00,1980,26,6-154,PHI,NFL,12,12,175.5,225.5,14.63,18.79,0,1,0,0,0,193,778,8,50,407,2,3
241,Barry Sanders*\SandBa00,1996,28,1-3,DET,NFL,16,16,234.0,258.0,14.63,16.13,0,1,0,0,1,307,1553,11,24,147,0,4
242,James Stewart\StewJa00,1998,27,1-19,JAX,NFL,3,3,43.9,49.9,14.63,16.63,0,0,0,0,0,53,217,2,6,42,1,2
243,Maurice Jones-Drew\DrewMa00,2006,21,2-60,JAX,NFL,16,1,233.7,279.7,14.61,17.48,0,0,0,0,0,166,941,13,46,436,2,1
244,Curtis Martin*\MartCu00,1998,25,3-74,NYJ,NFL,15,15,219.2,262.2,14.61,17.48,0,0,0,0,0,369,1287,8,43,365,1,5
245,Frank Gore\GoreFr00,2010,27,3-65,SFO,NFL,11,11,160.5,206.5,14.59,18.77,0,0,0,0,0,203,853,3,46,452,2,4
246,Eric Dickerson*\DickEr00,1987,27,1-2,2TM,NFL,12,10,174.9,192.9,14.58,16.08,0,0,0,0,0,283,1288,6,18,171,0,7
247,Maurice Jones-Drew\DrewMa00,2010,25,2-60,JAX,NFL,14,14,204.1,238.1,14.58,17.01,0,1,0,0,1,299,1324,5,34,317,2,2
248,Billy Sims\SimsBi00,1984,29,1-1,DET,NFL,8,8,116.6,147.6,14.58,18.45,0,0,0,0,0,130,687,5,31,239,0,6
249,Ottis Anderson\AndeOt00,1984,27,1-8,STL,NFL,15,15,218.5,288.5,14.57,19.23,0,0,0,0,0,289,1174,6,70,611,2,8
250,Chris Johnson\JohnCh04,2010,25,1-24,TEN,NFL,16,16,232.9,276.9,14.56,17.31,0,0,0,0,0,316,1364,11,44,245,1,3
251,Adrian Peterson\PeteAd01,2013,28,1-7,MIN,NFL,14,14,203.7,232.7,14.55,16.62,0,0,0,0,0,279,1266,10,29,171,1,5
252,Lorenzo White\WhitLo00,1992,26,1-22,HOU,NFL,16,16,232.7,289.7,14.54,18.11,0,0,0,0,0,265,1226,7,57,641,1,2
253,Le'Veon Bell\BellLe00,2015,23,2-48,PIT,NFL,6,6,87.2,111.2,14.53,18.53,0,0,0,0,0,113,556,3,24,136,0,0
