,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
112,Randy Moss*\MossRa00,2009,32,1-21,NWE,NFL,16,16,206.4,289.4,12.90,18.09,0,0,0,0,0,0,0,0,83,1264,13,2
113,Charlie Brown\BrowCh00,1982,24,8-201,WAS,NFL,9,9,116.0,148.0,12.89,16.44,0,0,0,0,0,0,0,0,32,690,8,1
114,Julio Jones\JoneJu02,2014,25,1-6,ATL,NFL,15,15,193.4,297.4,12.89,19.83,0,0,0,0,0,1,1,0,104,1593,6,2
115,Brandon Marshall\MarsBr00,2013,29,4-119,CHI,NFL,16,16,205.5,305.5,12.84,19.09,0,0,0,0,0,0,0,0,100,1295,12,0
116,Antonio Brown\BrowAn04,2013,25,6-195,PIT,NFL,16,14,204.9,314.9,12.81,19.68,1,1,15,0,0,7,4,0,110,1499,8,1
117,Larry Fitzgerald\FitzLa00,2005,22,1-3,ARI,NFL,16,16,205.0,308.0,12.81,19.25,0,0,0,0,0,8,41,0,103,1409,10,0
118,Odell Beckham\BeckOd00,2018,26,1-12,NYG,NFL,12,12,153.3,230.3,12.78,19.20,2,2,106,2,0,5,19,0,77,1052,6,2
119,John Stallworth*\StalJo00,1984,32,4-82,PIT,NFL,16,16,204.5,284.5,12.78,17.78,0,0,0,0,0,0,0,0,80,1395,11,1
120,Terance Mathis\MathTe00,1994,27,6-140,ATL,NFL,16,16,204.2,315.2,12.76,19.70,0,0,0,0,0,0,0,0,111,1342,11,0
121,Jerry Rice*\RiceJe00,1991,29,1-16,SFO,NFL,16,16,203.8,283.8,12.74,17.74,0,0,0,0,0,1,2,0,80,1206,14,1
122,Derrick Alexander\AlexDe00,2000,29,1-29,KAN,NFL,16,16,203.6,281.6,12.73,17.60,0,0,0,0,0,3,45,0,78,1391,10,0
123,Roddy White\WhitRo00,2010,29,1-27,ATL,NFL,16,16,203.2,318.2,12.70,19.89,0,0,0,0,0,1,3,0,115,1389,10,1
124,Steve Watson\WatsSt00,1981,24,,DEN,NFL,16,13,203.0,263.0,12.69,16.44,0,0,0,0,0,2,6,0,60,1244,13,0
125,A.J. Green\GreeA.00,2012,24,1-4,CIN,NFL,16,16,202.8,299.8,12.68,18.74,0,0,0,0,0,4,38,0,97,1350,11,2
126,Randall Cobb\CobbRa00,2014,24,2-64,GNB,NFL,16,16,202.4,293.4,12.65,18.34,0,0,0,0,0,11,37,0,91,1287,12,4
127,Isaac Bruce\BrucIs00,2000,28,2-33,STL,NFL,16,16,202.2,289.2,12.64,18.08,0,0,0,0,0,1,11,0,87,1471,9,1
128,Julio Jones\JoneJu02,2016,27,1-6,ATL,NFL,14,14,176.9,259.9,12.64,18.56,0,0,0,0,0,0,0,0,83,1409,6,0
129,Cris Carter*\CartCr00,1999,34,4-3,MIN,NFL,16,16,202.1,292.1,12.63,18.26,0,0,0,0,0,0,0,0,90,1241,13,0
130,Glen Kozlowski\KozlGl00,1987,25,11-305,CHI,NFL,3,3,37.9,52.9,12.63,17.63,0,0,0,0,0,0,0,0,15,199,3,0
131,Santana Moss\MossSa00,2005,26,1-16,WAS,NFL,16,16,202.0,286.0,12.63,17.88,0,0,0,0,0,3,-3,0,84,1483,9,3
132,Greg Jennings\JennGr00,2007,24,2-52,GNB,NFL,13,13,164.0,217.0,12.62,16.69,0,0,0,0,0,0,0,0,53,920,12,1
133,Steve Smith\SmitSt01,2006,27,3-74,CAR,NFL,14,14,176.7,259.7,12.62,18.55,0,0,0,0,0,8,61,1,83,1166,8,2
134,Calvin Johnson\JohnCa00,2010,25,1-2,DET,NFL,15,15,189.2,266.2,12.61,17.75,0,0,0,0,0,4,32,0,77,1120,12,1
135,Jimmy Smith\SmitJi00,1999,30,2-36,JAX,NFL,16,16,201.6,317.6,12.60,19.85,0,0,0,0,0,0,0,0,116,1636,6,1
136,Marvin Harrison*\HarrMa00,2004,32,1-19,IND,NFL,16,16,201.3,287.3,12.58,17.96,0,0,0,0,0,0,0,0,86,1113,15,1
137,Tony Martin\MartTo00,1996,31,5-126,SDG,NFL,16,16,201.1,286.1,12.57,17.88,0,0,0,0,0,0,0,0,85,1171,14,0
138,Emmanuel Sanders\SandEm00,2014,27,3-82,DEN,NFL,16,16,200.8,301.8,12.55,18.86,0,0,0,0,0,8,44,0,101,1404,9,1
139,Austin Collie\CollAu00,2010,25,4-127,IND,NFL,9,6,112.9,170.9,12.54,18.99,0,0,0,0,0,0,0,0,58,649,8,1
140,Chad Johnson\JohnCh01,2005,27,2-36,CIN,NFL,16,16,200.5,297.5,12.53,18.59,0,0,0,0,0,5,33,0,97,1432,9,1
141,Torry Holt\HoltTo00,2000,24,1-6,STL,NFL,16,15,200.2,282.2,12.51,17.64,0,0,0,0,0,2,7,0,82,1635,6,2
142,Marvin Harrison*\HarrMa00,2003,31,1-19,IND,NFL,15,15,187.5,281.5,12.50,18.77,0,0,0,0,0,1,3,0,94,1272,10,2
143,Louis Lipps\LippLo00,1985,23,1-23,PIT,NFL,16,16,200.0,259.0,12.50,16.19,0,0,0,0,0,2,16,1,59,1134,12,5
144,Dez Bryant\BryaDe01,2013,25,1-24,DAL,NFL,16,16,199.4,292.4,12.46,18.28,0,0,0,0,0,1,1,0,93,1233,13,3
145,Henry Ellard\EllaHe00,1988,27,2-32,RAM,NFL,16,15,199.1,285.1,12.44,17.82,0,0,0,0,0,1,7,0,86,1414,10,3
